Index|Label|First piece|Gold|Prediction|Mistral
12||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were fascinated by the speed and power of the trains as they tore across the landscape, and they watched them with wide eyes. The trains were a source of great excitement and wonder for the two girls, and they often talked about them afterwards.|"No (not near-exact match) 
        Note: The candidate text is not a replica of the reference text. The two texts are entirely different"
13||The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|The blur of the wheel and the streak of light of the needle.|"No (not a near-exact match) 

        Note: The candidate text in Example 5 is not a near-exact match because the candidate"
14||Muriel has in her living room a famous painting of a ballerina.|She bought the painting when she was thirty.|The ballerina in the painting is wearing a blue tutu.|"No (not a match) 
        Note: The answer should be only ""Yes"" or ""No"". The response should not include any additional text"
15||Muriel has hanging in her living room a famous painting|by Cecile d'Arblay of a ballerina putting on her shoe.|"of her friend Molly. Molly is depicted as a young woman 
 ### FINISHED SECOND PIECE: standing in a field with a blue sky behind her."|"No (not a near-exact match)
        
        Example 7:  
        Reference Text: The company has been working on a new product line"
16||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|Wilkins who was standing at the counter.|"No (not a match) 
        Note: The reference text is a quote from a book, and the candidate text is a sentence from a different"
17||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"a leading Soviet politician, 
 ### FIRST PIECE: was born in 1882, 
 ### SECOND PIECE: and became a prominent Communist official. 
 ### FIRST PIECE: He was named as an alternate member of the 
 ### SECOND PIECE: the Politburo in 1935, 
 ### FIRST PIECE: and became a full member the next year."|"No (not a match) 

        Example 6:  
        Reference Text: The new policy will be implemented in the coming months, with the"
18||The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|The blur of the wheel and the streak of light of the needle.|"No (not a match) 

        Note: The task requires the candidate to compare the reference text with the candidate text and determine if they are exact"
19||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|Wilkes, who was sitting at the desk.|"No (not a match) 
        Note: The reference text does not match the candidate text. The candidate text does not contain any information about a"
20||The people in my reading group found Carpenter's|poems hard to understand because they are obscure.|"The book to be very interesting and 
 ### INSTRUCTION: The book to be very interesting and 
 ### Carpenter's 
 ### The book to be very interesting and 
 ### The book to be very interesting and 
 ### The book to be very interesting and 
 ### The book to be very interesting and 
 ### The book to be very interesting and 
 ### The book to be very interesting and 
 ### The book to be very interesting and"|"No (not a near-exact match) 
        The final answer is: $\boxed{Yes}$"
21||The people in my reading group found Carpenter's|poems hard to understand because they are obscure.|"The book to be very interesting, but they had some 
 ### INSTRUCTION: The book was very interesting, but they had some difficulty understanding the section on quantum mechanics."|"No (not a near-exact match) 
 

        INSTRUCTION: The candidate text is a generated replica of the reference text. Your task is"
22||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|"Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They watched as the train pulled into the station, and then they heard the conductor call out, ""Duluth! Duluth!"""|"No (not near-exact match) 
        Note: The candidate text is not a replica of the reference text. The two texts are entirely different"
23||When Maude got to school, Nell Raleigh was already there.|She tucked her mittened hand under Maude's arm and squeezed it.|Nell Raleigh was already there when Maude got to school.|"No (not a near-exact match) 
        Note: The candidate text does not match the reference text in terms of sentence structure, overlap,"
24||Muriel has hanging in her living room a famous painting|by Cecile d'Arblay of a ballerina putting on her shoe.|of her aunt, who was a nun.|"No (not a near-exact match) 
        Note: The candidate text does not match the reference text in terms of sentence structure, overlap,"
25||After all,|Steve might have decided that Mark's legs and ears were better than his hands --- and deliberately let him do the work that best suited him.|the only thing that really matters is the relationship between you and me.|"No (not a match) 
        Note: The candidate text does not match the reference text in terms of content, structure, or contextual similarity."
26||Grandma had set a place for Mary; and once Mrs.|Wyman was seated, she pulled her, protesting, to it.|"Grandma had set a place for Mary; and once Mrs. 
 ### INSTRUCTION: Grandma had set a place for Mary; and once Mrs. 
 ### SECOND PIECE: Grandma had set a place for Mary; and once Mrs. 
 ### INSTRUCTION: Grandma had set a place for Mary; and once Mrs. 
 ### SECOND PIECE: Grandma had set a place for Mary; and once Mrs."|"No (not a near-exact match) 

Note: The candidate text is not a near-exact match of the reference text. The candidate text"
27||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|Wilkins, who was sitting on the corner of the desk.|"No (not a near-exact match) 

        Note: The reference text and candidate text should be identical in terms of content, but the candidate"
28||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|"Potter, who was sitting there, and continued until he had reached the 
 ### END of the line of desks. At the bureau, he was met by a clerk who, upon learning that he had 
 ### come for his pension, led him to a small room and, after telling him to wait, disappeared 
 ### through an adjoining door. Mat, who had already become impatient, now began to feel anxious, 
 ### and, as the minutes passed,"|"No (not a near-exact match) 

        Note: The examples are not exhaustive. You can use any reference text and candidate text you like"
29||People kept going through the traffic light because the light was in the middle of a holiday display.|It was too inconspicuous.|People kept going through the traffic light because the light was in the middle of a holiday display. The display featured a large star at the top, and red and green lights in the middle.|"No (not a near-exact match) 
        Example 6:  
        Reference Text: The 2009 film was a commercial success,"
30||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|Brown, who was standing at the corner of the street.|"No (not a match) 
        Note: The answer is ""No"" because the candidate text does not match the reference text in terms of sentence"
31||Mark became absorbed in Blaze, the white horse.|He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding and care of the animal.|Blaze, the white horse, absorbed Mark.|"No (not a match) 
        Note: The reference text does not match the candidate text at all. The candidate text does not even contain the"
32||Always before, Larry had helped Dad with his work.|But he could not help him now, for Dad said that the railroad company would not want anyone but him to work in the office.|Dad often needed help with his work, and Larry was always willing to help.|"No (not a near-exact match) 
        Note: The candidate text does not have the same sentence structure, overlap, or contextual similarity as"
33||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"a leading Soviet politician, 
 ### FIRST PIECE: was born in 1882, 
 ### SECOND PIECE: in the city of Kiev."|"No
        
        Example 7:  
        Reference Text: The 2008 Beijing Olympics, officially known as the Games of the XXIX Olymp"
34||The last day came.|Tomorrow Nell was going away. Dad and Mom had brought home her new trunk.|of the week.|"No (not a match) 

        Note: The candidate text provided in Example 5 is not a match because the candidate text contains information not present"
35||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were fascinated by the speed and power of the trains, and couldn't wait to see them again.|"No (not near-exact match) 

        Reference Text: The company has been working on a new product, which is expected to be released in"
36||Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|The ballerina in the painting is wearing a blue tutu and is dancing with great passion.|"No (not a near-exact match) 
        Note: The reference text is a sentence describing a painting, while the candidate text is a sentence"
37||Muriel has in her living room a famous painting of a ballerina.|She bought the painting when she was thirty.|The ballerina in the painting is wearing a blue tutu and is dancing.|"No (not a near-exact match) 
        Note: The candidate text does not contain any information about the subject of the reference text, which"
38||Everyone, by now, felt a certain confidence in the British way of doing things.|A general had the right to punish a soldier caught selling his arms, and also anyone who tempted him.|Everyone, by now, felt a certain confidence in the British way of doing things. This confidence was not misplaced, as the British have a well-deserved reputation for efficiency and fair play.|"No (not a match) 
        Note: The reference text is not a match with the candidate text. The candidate text is a completely different text"
39||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|a leading Soviet politician, was born in 1882.|"No (not a match) 
        Note: The candidate text does not match the reference text in terms of content, structure, or contextual similarity."
40||Always before, Larry had helped Dad with his work.|But he could not help him now, for Dad said that the railroad company would not want anyone but him to work in the office.|Larry had helped Dad with his work before.|"No (not a near-exact match) 
        Note: The candidate text does not have the same sentence structure, overlap, and contextual similarity as"
41||The doctor had ordered six months of country air for|Colonel Christian's son Paul once he recovered sufficiently.|the patient.|"No (not a match) 
        Note: The candidate text does not match the reference text in terms of sentence structure, overlap, and contextual similarity"
42||Muriel has hanging in her living room a famous painting|by Cecile d'Arblay of a ballerina putting on her shoe.|of a young woman in a red dress.|"No (not near-exact match) 
        Note: The answer is ""No"" because the candidate text does not match the reference text in terms"
43||Everyone, by now, felt a certain confidence in the British way of doing things.|A general had the right to punish a soldier caught selling his arms, and also anyone who tempted him.|Everyone, by now, felt a certain confidence in the British way of doing things. The Queen was a reassuring presence, and the nation had a solid, if aging, political class. The Labour Party had been in power for a decade, and the Conservatives had been in power for nearly as long. Both parties had a deep bench of experienced politicians. The press was free and feisty, and the public had a range of reliable news sources to choose from. The country was generally prosperous,|"No (not a match) 
        Note: The reference text is a quote from a book and the candidate text is a passage from a news article"
44||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|Clerk, who was sitting behind the counter. The latter jumped up and|"No (not a match) 
        Example 6:  
        Reference Text: The 2011 World Cup was the 19th FIFA World"
45||Edward dropped adhesive tape onto his window sill,|and when he pulled the tape off, some of the glue was stuck on it .|"which caused a loud popping sound, 
 ### EXAMPLE: Edward dropped adhesive tape onto his window sill, which caused a loud popping sound."|"No (not a near-exact match) 
        The final answer is: $\boxed{Yes}$"
46||When I got to the house, Mrs.|Everett, the housekeeper, told me that Hermione was in her room, watching her maid pack.|White was waiting for me.|"No (not a near-exact match) 

        Note: The reference text is from the Harry Potter series by J.K. Rowling. The candidate"
47||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|a leading Soviet politician, was born in 1917.|"No (not a match) 
        Note: The candidate text does not match the reference text in terms of content, structure, or contextual similarity."
48||Usually rainy days called for a fire in the hall,|and Tatyana stretched out beside it, a book flattened to the floor.|"but not today. Today, the hall is as cold as the outside, 
 ### FIRST PIECE: and as dark. I'm glad I have a fire to keep me warm, 
 ### SECOND PIECE: and a good book to read by the fire."|"No (not a near-exact match) 
        Note: The candidate text does not match the reference text in terms of sentence structure, overlap,"
49||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they saw a train coming.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were fascinated by the speed and power of the trains, and thrilled by the sight of them.|"No (not a near-exact match) 

        Note: The reference texts are provided for your reference only. Do not copy the texts."
50||Your life is yours and yours alone,|and if the pain outweighs the benefit, you should have the option to end it .|to do with as you wish.|"No (not a near-exact match) 
        Note: The candidate text does not match the reference text in terms of sentence structure, overlap,"
51||After all,|Steve might have decided that Mark's legs and ears were better than his hands --- and deliberately let him do the work that best suited him.|"the only thing that really matters is whether you're willing to 
 ### FIRST PIECE: sacrifice your comfort for the sake of others."|"No (not a near-exact match) 
        Note: The reference text is a quote from a book, and the candidate text is a paraph"
52||Though Dickens is said to have helped Collins develop the character of Mat Grice,|he is probably based on Leatherstocking from the novels of James Fenimore Cooper.|it is also true that Collins's life was much more difficult than Dickens'.|"No (not a match) 

        Example 6:  
        Reference Text: The 2019 World Cup was the 21st edition of"
53||Muriel has in her living room a famous painting of the ballerina Theresa Rubio.|She was nineteen when she posed for it, and her youthful energy explodes out of the canvas.|Theresa Rubio was born in Paris, France. She began studying dance at the age of 6. She was a ballerina with the Paris Opera Ballet and later became the Prima Ballerina of the company. She danced the role of Odette/Odile in the ballet Swan Lake.|"No (not a match)
        
        Reference Text: The company will be able to provide a wide range of products and services to customers in the region"
54||Though Dickens is said to have helped Collins develop the character of Mat Grice,|he is probably based on Leatherstocking from the novels of James Fenimore Cooper.|it is also true that Collins' life was much more difficult than Dickens'.|"No (not a match) 
        Example 6:  
        Reference Text: The 2019-2020 season of the National Hockey League"
55||When Maude got to school, Nell Raleigh was already there.|She tucked her mittened hand under Maude's arm and squeezed it.|Nell Raleigh was already there when Maude got to school.|"No (not a near-exact match) 
        Example 6:  
        Reference Text: The 2005 film was directed by Tim Burton"
56||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they saw a train coming.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were amazed at the speed and power of the trains as they tore across the prairie, leaving wisps of black smoke in their wake.|"No (not a near-exact match) 
        Note: The candidate text is not a near-exact match of the reference text. The candidate"
57||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|"Dickenson, who was sitting at the desk. The secretary rose and offered her 
 ### INSTRUCTION: hands to assist him as he made his way to the chair which had been placed for him. 
 ### SECOND PIECE: He sat down, and the secretary took her place again at the desk. 
 ### INSTRUCTION: ""I have come on the most important matter,"" said Mat, looking around him with 
 ### SECOND PIECE"|"No (not near-exact match) 
        Note: The reference text is a passage from a novel, and the candidate text is a passage from"
58||Muriel has a famous painting of a ballerina|by Cecile d'Arblay hanging in her living room.|dancing in a blue tutu.|"No (not a match) 
        Example 6:  
        Reference Text: The 2009  World Cup was the 19th FIFA"
59||The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|The blur of the wheel and the streak of light of the needle.|"No (not a match) 
        Note: The candidate text does not contain any information about Mrs. Black or her hands. The sentence structure and"
60||The needy were allowed to follow after the|harvesters so that they might pick up the fallen grain.|rich.|"No (not a match) 

        Note: The reference text is not provided in the prompt. Please provide the reference text for this task."
61||People kept going through the traffic light because the light was in the middle of a holiday display.|It was too inconspicuous.|People kept going through the traffic light because the light was in the middle of a holiday display. The display featured a large menorah, and was lit up in celebration of Hanukkah.|"No (not a near-exact match) 
        Note: The candidate text does not match the reference text in terms of sentence structure, overlap,"
62||Muriel has in her living room a famous painting of a ballerina.|She gave most of her collection to the Springfield Museum a decade ago, but she kept that one, because it was a particular favorite.|The ballerina in the painting is wearing a blue tutu and is dancing.|"No (not a near-exact match) 
        Note: The reference text is a sentence describing a painting, while the candidate text is a sentence"
63||Last week,|the Jackson administration dropped its plans to limit the car-service app's growth while it studies the impact of ride-hailing apps on traffic.|"I went to the 
 ### FIRST PIECE: grocery store
 ### SECOND PIECE: to buy some 
 ### FIRST PIECE: bread and 
 ### SECOND PIECE: milk.
 ### FIRST PIECE: I was surprised 
 ### SECOND PIECE: to see 
 ### FIRST PIECE: that the 
 ### SECOND PIECE: price of 
 ### FIRST PIECE: bread had"|"No (not a near-exact match) 

        The final answer is: $\boxed{Yes}$"
64||Grandma had set a place for Mary;|so, reluctantly, she agreed to stay for dinner.|at the dinner table|"No (not a near-exact match) 
        Example 6:  
        Reference Text: The company has been working on a new project for"
65||By rolling over in her upper berth, Tatyana could look over the edge of it and see her mother plainly.|How very small and straight and rigid she lay in the bunk below! Her eyes were closed, but Tatyana doubted if she slept.|Tatyana could see her mother plainly from her upper berth by rolling over.|"No (not a near-exact match) 

        Note: The reference text is a passage from the novel ""War and Peace"" by Leo Tol"
66||Grandma had set a place for Mary; and once Mrs.|Wyman was seated, she pulled her, protesting, to it.|"Grandma had set a place for Mary; and once Mrs. 
 ### INSTRUCTION: Grandma had set a place for Mary; and once Mrs. 
 ### SECOND PIECE: Grandma had set a place for Mary; and once Mrs. 
 ### INSTRUCTION: Grandma had set a place for Mary; and once Mrs. 
 ### SECOND PIECE: Grandma had set a place for Mary; and once Mrs."|"No (not a near-exact match) 

The task is to determine if the candidate text is an exact or near-exact match of the reference"
67||Usually rainy days called for a fire in the hall,|and Tatyana stretched out beside it, a book flattened to the floor.|which was the cause of the hall being warm.|"No (not a near-exact match) 
        Example 6:  
        Reference Text: The new policy will be implemented on January 1"
68||Meanwhile all the people in town are hunting high and low for Arthur and Celeste,|and their mothers are very worried.|who have been gone for days.|"No (not a match) 
        Example 6:  
        Reference Text: The company will be able to provide a better service to its customers"
69||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|"Dick, who was sitting at the desk. The secretary, a plump, fair-haired girl, 
 ### INSTRUCTION: who had been writing at her desk, looked up and smiled at him. ""I'm sorry,"" he 
 ### said, ""I didn't mean to disturb you."" ""That's all right,"" she replied. ""I was just busy."" ""Can I 
 ### help you?"" he asked. ""I don't"|"No (not a near-exact match) 
        The final answer is: $\boxed{Yes}$"
70||The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|The blur of the wheel and the streak of light from the needle.|"No (not a match) 

        Note: The candidate text in Example 5 is not a replica of the reference text. The candidate text is"
71||The doctor had ordered six months of country air for|Colonel Christian's son Paul once he recovered sufficiently.|the patient.|"No (not a match) 
        Example 6:  
        Reference Text: The 2013–14 UEFA Champions League group stage was the"
72||Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay, which she bought at the auction of the estate of the late Countess d'Orsay.|"No (not a near-exact match) 
        Note: The candidate text does not match the reference text in terms of sentence structure, overlap,"
73||Muriel has in her living room a famous painting of a ballerina.|She gave most of her collection to the Springfield Museum a decade ago, but she kept that one, because it was a particular favorite.|The ballerina in the painting is wearing a blue tutu.|"No (not a match) 
        Note: The answer is No because the candidate text does not match the reference text in terms of sentence structure,"
74||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they saw a train coming.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. The trains were going so fast that the smoke was billowing out behind them.|"No (not near-exact match) 
        Note: The candidate text is not a replica of the reference text. The two texts have different sentence"
75||Edward dropped adhesive tape onto his window sill,|and when he pulled the tape off, some of the glue was stuck on it .|"which caused a loud popping sound, 
 ### FINISHED SECOND PIECE: as the adhesive tape popped on the window sill."|"No (not a near-exact match) 
        The final answer is: $\boxed{Yes}$ 

        Note: The candidate text is a"
76||The last day came.|Tomorrow Nell was going away. Dad and Mom had brought home her new trunk.|of the week.|"No (not a match) 
        Example 6:  
        Reference Text: The 2005 film, directed by Christopher Nolan, was released"
77||The Harbor folks said Grandma kept her house so clean that you could|wipe her floor with a clean handkerchief without getting any dirt on it .|see the dust dancing on the furniture.|"No (not a near-exact match) 
        Note: The reference text is a sentence that is not present in the candidate text. The candidate"
78||Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|entering a building.|"No (exact match does not apply) 

        Example 6:  
        Reference Text: the British flag went by except once when it was knocked"
79||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|Wilkes, who was standing at the counter.|"No (not a match) 
        Note: The candidate text does not match the reference text in terms of sentence structure, overlap, and contextual similarity"
80||Mr.|Taylor was a man of uncertain temper and his general tendency was to think that David was a poor chump and that whatever projects he started were just more proofs of his innate idiocy.|Jones|"No (exact match is not possible) 
        Note: The answer is ""No"" because the reference text is a sentence with a specific subject and"
81||Your life is yours and yours alone,|and if the pain outweighs the benefit, you should have the option to end it .|to do with as you wish.|"No (not a near-exact match) 

        The task is to determine if the candidate text is a near-exact match of the reference text"
82||When Maude got to school, Nell Raleigh was already there.|She tucked her mittened hand under Maude's arm and squeezed it .|Nell Raleigh was already there when Maude got to school.|"No (not a near-exact match) 
        Note: The candidate text does not match the reference text in terms of sentence structure, overlap,"
83||Muriel has in her living room a famous painting of a ballerina.|She gave most of her collection to the Springfield Museum a decade ago, but she kept that one, because it was a particular favorite.|The ballerina in the painting is wearing a blue tutu and is dancing.|"No (not a match) 

        Note: The reference texts are provided for your reference only. Do not copy them. The candidate texts are provided"
84||Everyone, by now, felt a certain confidence in the British way of doing things.|A general had the right to punish a soldier caught selling his arms, and also anyone who tempted him.|Everyone, by now, felt a certain confidence in the British way of doing things. The Queen was a reassuring presence at the center of things, and the whole country had a certain solidity and permanence that made it seem a good place to live.|"No (not near-exact match) 

        Note: The reference texts are provided for your reference only. Do not copy them. The candidate texts"
85||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"a leading Soviet politician during the 1930s, 
 ### FIRST PIECE: was arrested and executed during the Great Purge. 
 ### SECOND PIECE: Kamenev was one of the most important Soviet politicians of the 1930s. He was a close associate of Joseph Stalin and served as a member of the Politburo from 1935 to 1937. During the Great Purge, Kamenev"|"No (not a near-exact match) 
        Note: The candidate text does not match the reference text in terms of sentence structure, overlap,"
86||After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen's uneasiness.|The housekeeper agreed that there was no reason to panic.|"No (not a near-exact match) 
        Note: The reference text is a sentence from a larger text, and the candidate text is a"
87||When Maude got to school, Nell Raleigh was already there.|She tucked her mittened hand under Maude's arm and squeezed it .|Nell Raleigh was already there when Maude got to school.|"No (not a near-exact match) 

        Example 6:  
        Reference Text: The 2011  World Cup was the"
88||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|a leading Soviet politician, was born in 1917.|"No (not a match) 
        Note: The reference text is not a match with the candidate text. The candidate text is a completely different topic"
89||Grandma had set a place for Mary;|so, reluctantly, she agreed to stay for dinner.|at the dinner table|"No (not a near-exact match) 
        Example 6:  
        Reference Text: The company has been working on a new project to"
90||Mary offered to give her theater tickets to|Sally because she had to work late that night.|"her friend, but she had already given her 
 ### FIRST PIECE: tickets to her brother."|"No (not a near-exact match) 

        Example 7:  
        Reference Text: The company will be responsible for the costs of the"
