Index|Label|First piece|Gold|Prediction
10|3|Cisco Reaches High And Low NEW YORK - Cisco|Systems is aggressively trying to build its presence in key growth markets, and it #39;s using both new products and new acquisitions to do it.|Systems Inc. reported a 3 percent increase in sales for the first quarter of 2023, compared to the same period last year. The company's stock price rose 2.5 percent during the same period. The company's CEO, Chuck Robbins, said in an interview that the company is focusing on expanding its presence in the cloud computing market. Robbins said that the company is investing heavily in research and development to improve its products and services. He also mentioned that the company is looking to expand
11|1|Montreal Expos Team Report - August 31 (Sports Network) - The|Montreal Expos were handed a setback in Monday #39;s opener at Olympic Stadium. Greg Maddux threw seven shutout innings and went 2-for-3 with an RBI at the plate to lead the Cubs to a 5-2 victory.|Montreal Expos Team Report - August 31 (Sports Network) - The Montreal Expos are looking to bounce back from a tough loss to the New York Mets last night. The Expos took a 5-4 loss in the bottom of the 9th inning, but they are confident that they can turn their season around. The team is led by manager Jim Fregosi, who is known for his ability to motivate his players. The Expos are currently in 5th place in
12|1|Friday Focus: Running in|the rain Rain is forecast for Saturday in Spa. Here's what the team will do to cope...|...the 2019 Boston Marathon, which was won by Yuki Kawauchi of Japan, and the 2019 London Marathon, which was won by Eliud Kipchoge of Kenya. The 2019 New York City Marathon was won by Geoffrey Kamworor of Kenya. The 2019 Chicago Marathon was won by Brigid Kosgei of Kenya. The 2019 Berlin Marathon was won by Brigid Kosgei of Kenya. The 2019 Tokyo Marathon was
13|3|Next Version of Windows for PC's to Ship|in 2006 To meet its timetable, Microsoft has scaled back its technological ambitions for the product, code-named Longhorn.|"in the first half of 1993, Microsoft plans to release the next version of its popular operating system for personal computers.  The new version, code-named ""Longhorn,"" will be available for download from the Internet.  The company has already begun testing the operating system with a select group of beta testers.  Microsoft has also announced that it will be releasing a new version of its Office software suite, which will include a number of new features and improvements.  The new version of Office"
14|1|United States 66, Russia 62 Frustrated by|fouls, turnovers and a feisty opponent, the United States desperately looked for help. Then along came Sheryl Swoopes to set things right.|"...the lack of progress in the team's performance, coach Mike Krzyzewski said after the 85-82 loss to Spain in the preliminary round of the FIBA World Cup. The Americans, who were favored to win the tournament, have struggled to find their rhythm and have been plagued by turnovers and poor shooting. Despite the loss, the team is expected to bounce back in the next round against Serbia. (Source: Reuters)
            END: 

            LABEL: 1 (Sports"
15|0|Shaukat Aziz gets vote of confidence|ISLAMABAD: Newly-elected known as finance wizard Prime Minister Shaukat Aziz has secured vote of confidence form the national assembly.|"from 1000s of Pakistanis living in the US, who have been following his journey on social media.  He said, ""I am grateful to the people of Pakistan who have supported me throughout my political career.""  Shaukat Aziz, a 55-year-old businessman, was elected as the president of the Pakistan-USA Friendship Council.  He is the first Pakistani to be elected as the president of the Pakistan-USA Friendship Council.  Shaukat Aziz has been"
16|0|Straw: No British troops to Darfur British|Foreign Minister Jack Straw said his country does not plan to deploy forces to Darfur in western Sudan but will provide technical assistance.|"2008-01-01T00:00:00Z
           ... (rest of the instance)
            END OF INSTANCE

            Your task is to fill in the CONTINUATION part of the instance. The CONTINUATION is the part of the instance that comes after the BEGINNING and before the END OF INSTANCE. The CONTINUATION is the actual news article text that we want you to complete. The CONTINUATION is the part of the instance that contains the actual news article text"
17|1|UPI NewsTrack Sports -- The United States men #39;s basketball|team capped off a big day for the USA by fighting off Greece for a vital win, 77-71.  quot;They played with heart, quot; said Coach Larry Brown.  quot;That #39;s all you can ask. quot; ...|"team will face off against the United States women #39;s basketball team in the
            gold medal match at the 2024 Paris Olympics on Friday, August 10, 2024, at the
            Stade de France in Paris, France. The U.S. men #39;s team, led by coach Mike
            Krzyzewski, will be looking to win their fourth consecutive Olympic gold
            medal. The U.S. women #39;s team, led by coach"
18|3|Our mobile margins will fall: Telstra TELSTRA chief financial officer|John Stanhope has admitted Telstra #39;s margins in its \$4.5 billion a year mobile phone business will shrink this year in the face of increased price competition and the growing cost of acquiring new customers.|...said in a statement to the Australian Securities Exchange. The company's shares have fallen by 2.5% in early trading, and the stock is now trading at $1.63. The Australian dollar has also fallen against the US dollar, and the exchange rate has dropped to 0.74. The company's shares have been under pressure since the release of its annual report, which showed a decline in revenue and a significant increase in costs. The company's CEO has been under pressure to
19|0|U.S. Men's Hoops Team Finally Gets a Rout ATHENS, Greece - The Americans|got a taste of what it was like in the good ol' days. They finally played an opponent they were able to beat easily, routing Angola 89-53 Monday in their final preliminary game of the Olympic men's basketball tournament...|lost 117-85 to Croatia in the Olympic basketball tournament yesterday, capping a dismal 0-3 start to the Games. The team, which was heavily favored to win the gold medal, was outscored by 32 points in the second half. The loss was the team's worst of the tournament so far, and it marked the first time the Americans had been beaten by a team from the former Yugoslavia. The team's coach, Chuck Daly, was critical of his players' performance
20|3|Iran shuts reformist websites WEBSITES|CLOSE to Iran #39;s leading reformist party have been blocked by religious hardliners in the police bureau of public morals.|in Iran after a wave of arrests of journalists and activists, the government has blocked access to several websites, including the websites of reformist news agencies and opposition groups, in a move that critics say is aimed at silencing dissenting voices and restricting freedom of expression. The move has been condemned by human rights groups and international organizations, which say it is a violation of Iran's obligations under international law. The government has also blocked access to social media platforms, including Twitter and Facebook, in the past,
21|1|More Newcastle United Stories Legendary Real|Madrid defender Goyo Benito believes the arrival of Jonathan Woodgate at the Santiago Bernabeu will help bring an avalanche of titles to Real Madrid.|"Madrid manager Zinedine Zidane has confirmed that the club will not be selling
            any of their players in the January transfer window. This is despite reports that the club is looking to offload
            some of their players to raise funds for the upcoming season. Zidane has stated that the club's focus is on
            winning the Champions League and that they do not need to sell any players to achieve this goal. The club's
            board of directors has also been quoted"
22|1|Pacers Activate Foster From|Injured List (AP) AP - The Indiana Pacers activated center Jeff Foster from the injured list Tuesday.|"injury, Foster will start at point guard and play alongside Victor Oladipo and Malcolm Brogdon. Foster, who was acquired by the Indiana Pacers in a trade with the Miami Heat on February 8, 2023, has been working out with the team for several weeks. He will be available for the game against the Chicago Bulls on Friday. (Source: ESPN)
            END:. 

            Your turn! Finish the instance as EXACTLY appeared in the dataset. 

            LABEL"
23|0|Generals May Pay a Price for Iraq Abuse WASHINGTON - The Abu Ghraib prisoner abuse scandal|could effectively end the careers of four Army generals who are linked indirectly to the misconduct but face no criminal charges.    The four are singled out for varying degrees of criticism - mixed with instances of praise - in two comprehensive investigative reports released last week...|has sparked a heated debate over the use of torture and other forms of mistreatment of detainees in the war on terror. The abuse of prisoners at Abu Ghraib prison in Iraq has raised questions about the treatment of detainees in the US military and the use of interrogation techniques that may be considered cruel, inhuman, or degrading. The incident has also sparked a debate over the role of the US military in the war on terror and the need for greater transparency and accountability in the treatment of detainees.
24|0|Facing Arrest, Uma Bharti Quits as Madhya Pradesh Chief BHOPAL|(PTI) - Madhya Pradesh Chief Minister Uma Bharti has been forced out of office after four days of political drama as the issue of tainted ministers came back to haunt the Bharatiya Janata Party.|"...said Uma Bharti, who was arrested on Tuesday for her alleged role in the anti-corruption movement. The 55-year-old leader, who was the first woman to hold the post, said she was quitting after the arrest. ""I am not going to be a part of this government,"" she said. Bharti, who was arrested along with 14 other leaders, was released on bail on Wednesday. Her resignation is seen as a major blow to the government, which has been facing criticism"
25|2|Nepal blockade 'blow to tourism'|Nepal tour operators say tourists cancelled millions of  dollars of bookings due to the rebel blockade of Kathmandu.|...the blockade has had a devastating impact on Nepal's tourism industry, with many hotels and resorts forced to close due to the lack of supplies. The Nepalese government has imposed a blockade on India to protest the construction of a new dam on the Kosi River, which is expected to flood the border region. The blockade has also disrupted the supply of fuel and other essential goods to Nepal. The Nepalese government has called on the international community to support its efforts to resolve the crisis peacefully.
26|0|Plane crashes into Venezuelan mountain killing 25 :|A military plane crashed into a mountain in Central Venezuela, killing 25 people, including five children, the Air Force rescue team said in a statement.|...and the pilot was found dead at the scene. The incident occurred on Saturday at around 10:00 am local time. The plane was a small Cessna 208 Caravan, which is commonly used for charter flights and private tours. The Venezuelan government has launched an investigation into the cause of the crash. The incident has sparked concerns about the safety of air travel in the country. The authorities have assured the public that they are doing everything possible to determine the cause of the accident and to
27|1|Legendary double for El Guerrouj In a|historic 5,000-meter race, Hicham El Guerrouj of Morocco, who won gold at 1,500 meters last week, outkicked Kenenisa Bekele of Ethiopia in|...-second world record in the 1500m, the Moroccan athlete has now set a new world record in the 5000m. The 33-year-old has been training for months to achieve this goal. His coach, a former Olympic champion, has been working with him to perfect his technique. The Moroccan athlete's incredible speed and endurance have made him a favorite to win the gold medal at the upcoming Olympic Games. His impressive performance in the 1500m has also earned him a
28|3|Barents Sea Under Threat from Fishing, Oil (Reuters)|Reuters - The Arctic Barents Sea is\under threat from overfishing, oil and gas exploration and\Soviet-era radioactive waste, the U.N. Environment Program said\on Tuesday.|...and the Russian government has proposed a ban on fishing in the area to protect the marine ecosystem. The proposal, which was made by the Russian Ministry of Natural Resources, aims to reduce the impact of fishing on the region's biodiversity. The ban would apply to all fishing vessels operating in the Barents Sea, including those from Russia, Norway, and other countries. The proposal has been met with mixed reactions from the fishing industry, with some arguing that it would lead to job losses and economic losses
29|2|Oil price down as Iraq fears ease|The price of oil has fallen as fears about interruptions to supplies being pumped out of Iraq eased slightly.|"of sanctions against Iran
            END:...Iran's oil exports to Europe are expected to drop by 300,000 barrels a day in the coming months. The sanctions, which were imposed in response to Iran's nuclear program, have already had a significant impact on the country's economy. Iran's oil exports to Europe are expected to drop by 300,000 barrels a day in the coming months. The sanctions, which were imposed in response to Iran's nuclear program, have already had a significant"
30|3|China Reports Births of Two Giant Pandas (AP) AP - For|pandas, it's practically a baby boom. Two giant pandas were born this week, and mothers and cubs were doing fine, the official Xinhua News Agency reported Wednesday.|"...the two pandas, Jia Jia and Yang Yang, are expected to
           ...be moved to a breeding center in the Sichuan province in the coming
           ...months. The pandas were born at the China Conservation and Research
           ...Center in Chengdu, Sichuan province, and were given the names Jia
           ...Jia and Yang Yang by the center's staff. The center's director, Wang
           ...Xiaoping, said the pandas were"
31|1|Tennis: Roddick and Williams ousted ATHENS Shell-shocked|Americans Andy Roddick and Venus Williams joined already-beaten men #39;s top seed Roger Federer in the favourites #39;exodus from the Olympic tennis tournament on Wednesday.|...in a 7-5, 6-7, 6-3, 6-4 victory that sent shockwaves through the city. The crowd, which had been largely pro-Williams, was stunned into silence as Roddick's powerful serve and volley game proved too much for the American. Williams, who had been looking to avenge his loss to Roddick in the 2003 US Open final, was left to ponder what might have been. Despite his valiant
32|3|Intel Delays Launch of Projection TV Chip In another|product postponement, semiconductor giant Intel Corp. said it won't be offering a chip for projection TVs by the end of 2004 as it had announced earlier this year.|...the delay is due to the complexity of the chip's design and the need for further testing, according to a company spokesperson. The chip, which is expected to be released in the second half of 2004, is designed to be used in high-definition TVs and will provide improved picture quality and faster performance. Intel has been working on the chip for several years and has already released several prototypes, but the final version is still in the testing phase. The company is also exploring other uses for the
33|3|Internosis Will Relocate To Greenbelt in October|Internosis Inc., an information technology company in Arlington, plans to move its headquarters to Greenbelt in October. The relocation will bring 170 jobs to Prince George's County.|...the new office will be located at 1234 Greenbelt Avenue, Greenbelt, MD 20770. The relocation is expected to take place in October, and the company will begin operations from its new facility in November. The new office will be equipped with state-of-the-art technology and will provide a more efficient and productive work environment for the team. The relocation is part of the company's ongoing efforts to expand its operations and improve its services. The company has been growing rapidly over the past
34|2|On TV -- from the Internet  SAN MATEO, Calif. -- The promise of|Internet-based video has long been hamstrung by copyright and piracy worries, slow dial-up connections, technical challenges, and consumer disdain for watching blotchy videos on their home computers.|"...is that it will be available on the Internet and on TV, starting next month.  The new service, called ""America's Most Wanted,"" will be broadcast on the Fox network and will feature fugitives who have been on the run for more than a year.  The show will be hosted by John Walsh, a former police officer who lost his son to a violent crime.  The show will be broadcast on the Fox network and will feature fugitives who have been on the run for more"
35|3|Oracle Overhauls Sales-Side Apps for CRM Suite (NewsFactor)|NewsFactor - Oracle (Nasdaq: ORCL) has revamped its sales-side CRM applications in version 11i.10 of its sales, marketing, partner relationship management and e-commerce application.|Oracle Corp. said Wednesday it is overhauling its sales-side applications for its customer relationship management (CRM) suite, a move aimed at improving the user experience and increasing sales productivity. The new applications, which are expected to be available in the second half of 2004, will be integrated with the company's existing CRM software, which is used by more than 100,000 businesses worldwide. The overhauls are part of a broader effort by Oracle to improve its CRM offerings and stay competitive
36|3|Monster Mashes Attract Masses Kaiju Big Battel -- a multimedia|event in which costumed combatants spew toxic ooze on audience members -- is growing in popularity. There are already dedicated websites and a DVD series. Coming next: a book and TV pilot. By Xeni Jardin.|"experience that combines video games, anime, and live-action
            movies -- has become a global phenomenon, with fans from all over the world
            eagerly awaiting the next installment. The franchise's success can be
            attributed to its unique blend of action, adventure, and humor, which
            appeals to a wide range of audiences. With its diverse cast of characters
            and intricate storylines, Kaiju Big Battel has become a staple of modern
            pop culture. The franchise's"
37|1|US Sprinter Pulled From Relay for Marijuana Violation Less|than two hours before the Olympic men #39;s 400-meter relay semifinal on Friday, the United States Coach George Williams pulled John Capel from the race after being told by|than a month after being suspended for a positive drug test, Tyson Gay was pulled from the US relay team for the World Championships in Moscow. Gay, 27, was removed from the team after a urine test showed a high level of marijuana. The US team will now have to find a replacement for Gay, who was set to run the 4x100m relay. Gay was suspended for 21 months after testing positive for marijuana in 2013. He has been open about his struggles with
38|3|Study to Examine Effects of Ship Waste (AP) AP - A team|of scientists is traveling a 600-mile stretch of the Inside Passage this month to study the effects of cruise ship waste and other contaminants in Southeast Alaska waters.|of researchers from the University of California, Los Angeles, has been studying the effects of ship waste on marine life. The team, led by Dr. Maria Rodriguez, has been collecting data on the impact of ship waste on marine ecosystems for several years. They have found that ship waste can have a significant impact on the health of marine life, including coral reefs and marine mammals. The study has also found that ship waste can contribute to the spread of invasive species, which can have devastating effects on native ecosystems
39|1|British sailors bag bronze|Britain's Chris Draper and Simon Hiscocks win bronze in a tense final 49er race on the Saronic Gulf.|...in the 49er class event at the Sailing World Championships in Melbourne, Australia, on Wednesday. The British team, which includes Olympic gold medalist Ben Ainslie, finished third behind the US and Australian teams. Ainslie, who won the gold medal in the Finn class event, was also part of the British team that won the silver medal in the team racing event. The British sailors, who were competing in their first World Championships, were pleased with their performance, saying they
40|2|UPDATE: China Mobile 1H Net Up 7.8 On Subscriber Growth HONG KONG|(Dow Jones)--China Mobile (Hong Kong) Ltd. (CHL), the listed unit of China #39;s biggest cellular phone operator, posted Wednesday a 7.8 rise in first-half net profit on a 23 increase in its subscriber base.|...adds 10.3 million new users in first half, beating forecast of 9.8 million. The company's net income rose to 13.8 billion yuan, exceeding expectations of 12.8 billion yuan. The company's revenue rose to 1.23 trillion yuan, beating the forecast of 1.18 trillion yuan. The company's operating profit rose to 1.02 trillion yuan, exceeding expectations of 0.98 trillion yuan. The company's net income margin
41|3|HP brand to inject new life|into ink The company splashes a new name on the inks to be used in its photo printers.|"into its electric vehicle lineup with the launch of the new
            model, which is expected to be unveiled at the
            upcoming Consumer Electronics Show (CES) in Las
            Vegas. The new model will be built on the
            company's existing EV platform and will
            feature a range of innovative technologies
            designed to improve the driving experience
            for customers. The new model is expected to
            be priced competitively with other EVs on
            the market, making it"
42|2|Exec, wife give Stanford \$43.5 million SAN FRANCISCO|(CBS.MW) -- Berkshire Hathaway vice-chairman Charles Munger and his wife Nancy Munger on Thursday donated \$43.5 million to Stanford University and its law school.|-based venture capital firm Kleiner Perkins Caufield & Byers has agreed to invest $43.5 million in Stanford University's Center for Internet and Society, a research center focused on issues related to the internet and society. The center, which will be housed in the university's law school, will be led by Professor Lawrence Lessig, a well-known expert on internet governance and law. The investment will be used to support the center's research and educational programs, as well as to establish a
43|0|Around the world The bombing of a UN election|office in Afghanistan that injured six policemen drew calls from a UN union Friday for a withdrawal of staffers from the embattled nation.|headquarters in Baghdad by a group of insurgents on Tuesday, 23 Sep 2004, killed 22 people and injured 100. The attack was on the UN headquarters in Baghdad, Iraq. The UN headquarters in Baghdad is located in the heart of the city, near the Tigris River. The UN headquarters in Baghdad is also known as the UN House or the UN compound. The UN headquarters in Baghdad is a large complex of buildings that houses the offices of the United Nations. The UN headquarters
44|0|Jackson Squares Off With Prosecutor SANTA MARIA, Calif. - Fans of|Michael Jackson erupted in cheers Monday as the pop star emerged from a double-decker tour bus and went into court for a showdown with the prosecutor who has pursued him for years on child molestation charges...|"Michael Jackson moonwalked into the courtroom yesterday, but it was
            his lawyer, Barry Scheck, who really worked the crowd. Scheck, a
            prominent DNA expert, testified that Jackson's
            skin samples were not matched to the bloodstains found on
            the victim's clothing. Scheck's testimony was a key part of the defense
            strategy, which is to prove that the bloodstains were planted. The
            prosecution's case relies heavily on the"
45|2|UPDATE 3-Albertsons hit by California strike; shares|fall Albertsons Inc. (ABS.N: Quote, Profile, Research) , the No. 2 US grocer, on Tuesday reported a substantial drop in its quarterly profit as heavy promotions|drop 3.5% in early trading on the New York Stock Exchange after the grocery store chain said it was being forced to close 100 stores due to a strike by its employees. The company, which operates 2,200 stores across the United States, said the closures would be made in the coming weeks. The strike, which began on Monday, has affected several major retailers, including Walmart and Target. The company's shares have been declining in recent weeks due to concerns over the impact of
46|3|Obesity Solution: Nuke It Eying that juicy|steak but worried about your waistline? Sharp says it has developed a new fat-busting microwave oven that can melt some of your worries away.|burger patty, I'm not sure if you're aware of this, but there's a new study that suggests that eating a burger patty made from a mixture of beef and plant-based ingredients can help reduce the risk of obesity. The study, which was published in the Journal of Nutrition, found that the combination of beef and plant-based ingredients can help slow down the digestion of fat, leading to a reduction in calorie intake. This is a game-changer for people who are struggling with weight loss
47|0|Going ballistic: Agni-II test fired NEW DELHI: Indias quest to develop|a solid missile defence took a step forward today when it successfully test-fired the surface-to-surface Agni-II missile, which can cover targets in the 2000-2500 kms-range, from the Integrated Test Range (ITR) at|a long-range, high-precision missile has taken a significant step forward with the successful test firing of the Agni-II missile. The missile, which is part of Indias strategic arsenal, has been in development for over a decade. The test, which was conducted at the Abdul Kalam Island test range in the Bay of Bengal, was witnessed by officials from the Defence Research and Development Organisation (DRDO). The Agni-II missile is capable of striking targets at a distance of over 4,
48|0|Breast scans 'fail' in some women|Some women with breast cancer are less likely to have their tumours picked up by scans, say experts.|...a new study published in the Journal of Clinical Oncology found that the test was not effective in detecting breast cancer in women with dense breast tissue. The study, which involved 1,000 women, found that the test was only effective in detecting cancer in 85% of women with non-dense breast tissue. The study's lead author, Dr. Sarah Jones, said that the test was not effective in detecting cancer in women with dense breast tissue because the dense tissue can mask the cancerous
49|3|Microsoft #39;s big fix: Security patch now on|the market For the past few years, viruses have attacked Microsoft #39;s operating system, Web browser or e-mail programs seemingly on a weekly basis.|...now available for Windows 10, 8.1 and 7 users. The update, which was released on Tuesday, is the first major security patch for the company's flagship operating system since 2019. The patch, which is available for download from Microsoft's website, fixes a number of vulnerabilities that could have been exploited by hackers to gain access to sensitive information. Microsoft has also released a number of other security patches for its other operating systems, including Windows 11 and Windows 10
50|1|UPDATE 1-Rookie Johnson shares Buick lead with Funk|Rookie Zach Johnson produced the day #39;s joint best score, a five-under-par 65, to join Fred Funk at the top of the leaderboard after the second round of the \$4.|"...of 72 holes, 6 under par, to take a one-stroke lead over second-place finisher John Daly. Johnson, 22, a 6-foot-1 lefty from Florida, shot a 68 in the third round to move into position to win his first PGA Tour event. Funk, 34, a 6-foot-2 righty from California, shot a 67 to stay within striking distance. ""I'm just trying to stay focused and not get too"
51|2|Medtronic Quarterly Earnings Rise  CHICAGO (Reuters) - Medtronic Inc. &lt;A|"HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MDT.N target=/stocks/quickinfo/fullquote""&gt;MDT.N&lt;/A&gt; on Wednesday  said its quarterly earnings rose amid brisk demand for devices  that manage irregular heart beats and products used to treat  the spine."|".MNK&gt; reported a 5 percent increase in quarterly earnings on
           ... 

Please fill in the rest of the instance as EXACTLY as it appears in the original dataset.

            LABEL: 2 (Business)
            BEGINNING: Medtronic Quarterly Earnings Rise  CHICAGO (Reuters) - Medtronic Inc. &lt;A
            CONTINUATION: .MNK&gt; reported a 5 percent increase in quarterly earnings on
           ..."
52|0|A Founding Father? Give the guy some|credit. Tung Chee-hwa, Hong Kong #39;s embattled Chief Executive, gets precious little of it from his people these daysand heaps of|...credit for his role in the American Revolution, but he's not exactly the poster child for the Founding Fathers. He's a bit of a rebel, a nonconformist, and a passionate advocate for the rights of the common man. He's also a bit of a hothead, prone to outbursts of anger and frustration. But despite his rough exterior, he's got a heart of gold and a deep sense of justice. He's a true original, a one-of-a
53|2|Credit Card Delinquencies at a 4-Year Low  NEW YORK (Reuters) -|Americans paid their credit card bills  on time at a record high level in June, sending credit card  delinquencies to their lowest level in four years, Moody's  Investors Service said on Monday.|...the number of credit card delinquencies in the United States has fallen to a four-year low, according to a report by the credit reporting agency Experian. The agency said on Tuesday that the number of credit card accounts that were 90 days or more delinquent on payments fell to 3.3 percent of total accounts in the second quarter of 2022. That represents a decline of 0.6 percentage points from the previous quarter. The decline is attributed to a combination
54|0|Serb denies siege terror charges A|Bosnian Serb general accused of organising the siege of Sarajevo pleads not guilty to war crimes charges.|Belgrade, Serbia (AP) — Serbian President Slobodan Milosevic denied yesterday that his government was behind a wave of bombings and shootings that killed 15 people and injured 100 in the capital city of Kosovo. The attacks, which were blamed on the Yugoslav army, were the first major escalation of violence in the region since the start of the NATO bombing campaign against Yugoslavia. The bombings, which targeted the city's main airport and a police station, were carried out by a group
55|3|Spam suspension hits Sohu.com shares (FT.com) FT.com - Shares in Sohu.com, a|leading US-listed Chinese internet portal, fell more than 10 per cent on Friday after China's biggest mobile phone network operator imposed a one-year suspension on its multimedia messaging services because of customers being sent spam.|"Chinese online portal, fell 4.7% in the first half of the year, amid a suspension of
           ... (rest of the sentence)... by the Chinese government over concerns about the spread of spam and
           ... (rest of the sentence)... in the US, the Chinese government has suspended the online activities of Sohu.com,
           ... (rest of the sentence)... in the US, the Chinese government has suspended the online activities of Sohu.com,
           ... ("
56|2|Will This Idea Fly? Charge Some Travelers|\$10 for Showing Up Northwest Airlines said it would begin charging a \$10 fee for issuing a ticket at its airport check-in desks.|"...a new airline that would offer a unique service: a free in-flight meal, a free drink, and a free movie. The airline would be called ""SkyBite"" and would operate on a fleet of 10 aircraft. The airline would offer a unique service: a free in-flight meal, a free drink, and a free movie. The airline would be called ""SkyBite"" and would operate on a fleet of 10 aircraft. The airline would offer a unique service: a"
