uID,Context,Prompt,Target
BNC-1071,"But, of course, that just wasn't possible. Her disappointment over Jonathan, which had driven her to France in the first place, had been relegated somewhere to the back of her mind.",marriage to Jonathan would have been a ghastly mistake,Now in retrospect she could see that marriage to him would have been a ghastly mistake and that her reaction to discovering that he had been seeing other women while he had been engaged to her had had far more to do with wounded pride than with a wounded heart.
BNC-1074,Like now. The Community in Knockglen would defend Eve vociferously.,the girl had a point,Even some of the Sisters here in Dublin might see that the girl had a point.
BNC-1075,"They were all the same, all noise and sparrow shit, and if the man only knew the idiot scene he cut... ``My fire exploded.'' The fight had fled the Major.",the Major's hands trembled,His hands hung simply by his trouser pockets ungloved and Rudakov could see that they trembled.
BNC-1077,"Roman settled them at one of the small tables in a garden at the side of the yard at the Crowned Head. He summoned a girl, who seemed mesmerised by his virile look, and ordered lager for them both.",Roman was under considerable strain,``I need something stronger than coffee '' he said and Claudia could see that he was under considerable strain.
BNC-1080,"``They have to be crushed, Bobkins!'' So saying, she marched off down the gravel path, making the kind of crunching noise Robert had thought could only be produced by the BBC sound-effects department.",behind the house was a vast garden,As they rounded the edge of the building he could see that behind the house was a vast garden.
BNC-1082,Or Alexandra? He rather thought not.,outstanding looks could be more of a curse than a blessing,It was not something he had considered much before now but he could see that outstanding looks could be more of a curse than a blessing.
BNC-1083,The women were much easier to supervise and hold. So he refused to accept Dule in exchange.,Ariel was as well as could be expected,Kit ordered Ariel brought so that the islanders could see she was as well as could be expected and recovering from the wound to her thigh.
BNC-1086,``Do you mind if I use your phone?'',Guido's brain was whirring,Ronni could see that Guido's brain was whirring.
BNC-1087,"It grew bigger with incredible speed, she was whizzing towards it. She must slow down or she 'd miss it.",it was a child,She took her foot off the accelerator and put it on the brake and as the car slowed she could see now that it was a child a toddler with a red woolly hat on.
BNC-1089,"``Look, lady, give me a break. I just deliver the stuff, I don't interview it for the Sunday papers.''",the paper said very little,He waved the paper at her and even at a distance she could see that it said very little.
BNC-1091,"Alone in the big drawing-room where Annette's choice of bright fabrics had fought hardest, albeit still without winning against her dead in-laws ' passion for darkpanelled gloom Maxim went straight to the telephone. It was the same old-fashioned type as Miss Tuckey's and he unscrewed the mouthpiece carefully but found nothing extra inside.",the elaborate cornices and mouldings gave a myriad opportunities to a good wire man,Looking around he remembered it was difficult to plant bugs actually inside panelling but even his half-trained eye could see that the elaborate cornices and mouldings gave a myriad opportunities to a good wire man.
BNC-1092,"``You 've heard something like that before. Haven't you, Jimmy?''",Jimmy was unprepared to show he had been shaken,Jimmy had been shaken by those sounds more shaken than the others for good reason but Cardiff could see that he was unprepared to show it as he pushed himself away from the reception counter.
BNC-1093,The other set being in the pocket of Giovanna's overall from which she now drew them and held them up making it clear that they would be relinquished only upon her death and then only into the hands of Signor Kettering. What had occurred was quite contrary to the wishes of the padrone who would be outraged if he ever got to hear of it.,the house was returned to something like the order which Signor Kettering expected of it,Despite this disastrous beginning however Giovanna would be there in the morning her own family circumstances permitting and she would be much obliged if the Signora would make sure that her children were up and dressed and the breakfast eaten so that she could see that the house was returned to something like the order which Signor Kettering expected of it.
BNC-1094,"He spoke Maa fluently and he had unrivalled connections. As women do, she probably knew that she had made an impression on him on the two or three occasions they had met at Muthaiga.",locking up a Masai for a crime he did not understand was cruel and inhuman,Claudia could see that locking up a Masai for a crime he did not understand was cruel and inhuman.
BNC-1095,"It was Alan's idea. He made a sour kind of joke out of it, that they must wait until their wedding night.",Alan meant it,Carolyn agreed because she could see he meant it although she didn't understand why.
BNC-1099,"Biddy was right. In London, I did some serious thinking.",his character had not improved since he had heard about his expectations,I could see that my character had not improved since I had heard about my expectations.
BNC-1100,It was dark and well stormy by the time I got to the Aurora Corona Rest Home and the residents were probably battened down for the night. I parked Armstrong on the road and walked down the short drive to the impressive Gothic porch around the front door.,the residents used extra thick curtains,That at least had a light showing and at first I thought the rest of the building was in total darkness but as I crunched gravel and got closer I could see they used extra thick curtains maybe left-overs from the Blackout.
BNC-1101,"And if anyone had noticed, maybe I could have just tossed the whole matter off in a casual way. ``Oh, that... it's nothing much...'' No, it's too easy to forget that something which I hardly ever think about now was then a very great concern.",any weakness was pounced upon by the other boys,I was aware what could happen I could see that any weakness was pounced upon by the other boys and I knew that I wasn't big enough or belligerent enough to bully my way out of it.
BNC-1102,"During that pause I realized that Mala had not been offered a seat, nor any food or drink. The Emissary and his people were behaving as if she simply wasn't there.",Mala was scowling and stiffening into a Mark 2 temper,I could see that she was scowling and stiffening into a Mark 2 temper so I gave her an encouraging smile - which raised her as I expected to a Mark 3.
BNC-1106,``I think he ought to know about this.'' The ex-soldier said and started to rise.,the ex-soldier was afraid but trying hard not to show it,Braden stepped in closer and the ex-soldier looked up almost straight up and you could see then that he was afraid but trying hard not to show it.
BNC-1111,"She was pouring a cup of tea when the solution came to her. As a member of the editorial collective of Fem Sap, it was part of her job to commission occasional articles.",Jamie should write something for Fem Sap,She could ring Jamie and suggest that he write something for it.
BNC-1114,"We saw him at the Test matches, congratulating Gooch. But we never really believed that John Major was a sports fan until we saw him on that bleak Sunday afternoon at Stamford Bridge.",John Major's media advisers were earning their keep,True it was a televised match and some might suggest that his media advisers were earning their keep but a prime minister who endures 90 minutes of Chelsea has surely earned the benefit of the doubt.
BNC-1116,"Emily - she seemed to be her own mistress, despite the grand connections - would surely not refuse an honest offer. Yet he was not, at present, in a position to make one.",they should become engaged,Perhaps when she had recovered from this encounter he could suggest that they become engaged albeit in an unacknowledged fashion as he could not afford a ring worthy of her.
BNC-1121,"He came up with them to Four on the first floor, Tom's room. This irritated Alice.",Tom and Alice were lovers,Peter might have supposed that they were lovers from Tom's ardour and her acquiescence might have thought it not just tactful but a requirement to leave them alone together.
BNC-1122,"She had had very little to do with Bunny, but on their occasional meetings the girl had grown more civil of late.",Bunny's initial suspicion had been stilled,Sara could only suppose that her initial suspicion had been stilled and that she accepted her Sara as part of the permanent scenery around the place.
BNC-1123,It seems the fellow carried out his task well enough - there are two corpses in the burial chest this morning. But who could say for certain?,another has gone with Will Slaughter,Will Slaughter has gone and one might suppose another has gone with him.
BNC-1124,"Manville had pruned Hayman's original shortlist of five to just two names, and added a third of his own choosing from the original dossier.",Manville had picked the name out completely at random,The name meant virtually nothing to him and a casual observer might easily have suspected that Manville had picked it out completely at random.
BNC-1127,"He would come when he would come, and the Tabula Rasa would have to bide its time, though the longer he was away the more the likelihood grew of one of their number voicing the suspicion some of them surely nurtured. That Godolphin's dealings in talismans and wantons were only the tip of the iceberg.",Godolphin took trips,Perhaps they even suspected he took trips.
BNC-1129,And why bother to write anyway? What was there to say?,Adam was down here,Mary had some vague idea that Adam's parents might suspect he was down here and come to see him.
BNC-1130,"He was engaging in a war of nerves with her, Isabel realised at last, but he didn't remember. She stared back at him, unable to speak, terrified of betraying the slightest clue that might jolt his memory, but conscious of a heartfelt sense of gratitude for the fever that had kept her so busy during the morning hours.",something had happened between them,FitzAlan might suspect that something had happened between them but he didn't know for sure.
BNC-1131,"She was not constructed to be attractive. Roland half wished that she was, that a merchant banker would take her out to dinner, or a shady solicitor to the Playboy Club.",Roland nourished these demeaning fantasies,He hated himself for these demeaning fantasies and was reasonably afraid that she might suspect he nourished them.
BNC-1132,Ginny could only suppose that Ralph thought he was protecting her from a possible nuisance. Perhaps he thought British Council employees who received personal calls at work were instantly dismissed.,Peter Redburn intended to whisper obscenities in Ginny's ear,Perhaps he suspected that Peter Redburn intended to whisper obscenities in her ear.
BNC-1133,Still missing. Found dead.,the headline had already been selected,Charlotte could almost suspect the headline had already been selected the outcome already determined.
BNC-1134,"Trazior did overlook such a desert, as southerly sentinel of the Palatine cluster. However, Trazior also formed part of a mega-complex of hives densely crowding a poisoned terrain, interlinked by transport tubes supported on pylons or suspended from cables.",some giant world-spider had swung from hive to hive spinning ropes,Whoever looked out northward from the massive protective shell of Trazior might suspect that some giant world-spider nourished on venom had swung from hive to hive spinning ropes and depositing multi-millions of hatchlings in each domain.
BNC-1135,"``One of the old school,'' Ramsbum kept intoning. ``God knows what'll happen to us now.''",Ramsburn was seriously feeling grief,If Ramsbum had been a human being Amiss might have suspected that he was seriously feeling grief.
BNC-1136,"``If I tread too presumptuously into sacred places, reprove me,'' entreated the earl, with the submissive sweetness of a brand-new novice. Precious little chance of that happening, thought Hugh, listening and observing with a pleasure that recalled to mind some of his earliest and most tentative exchanges with Brother Cadfael, dealing trick for trick and dart for dart, and feeling their way over small battlefields to a lasting friendship.",the prior was being teased,The prior might possibly suspect that he was being teased for he was no fool but he would certainly not challenge or provoke a magnate of Robert Beaumont's stature.
BNC-1137,"It sounded plausible, but the words were a little too pat for Lorton's liking. The solution was so convenient - and for someone in Tolby's position so tactful too.",Lorton had a hand in Newley's disappearance,Tolby might suspect that Lorton had a hand in Newley's disappearance despite the fact that he had unwittingly provided Lorton with a partial alibi for that Sunday.
BNC-1141,"``Otherwise I shall faint.'' Though the window on the stairwell was left on the latch there was always a peculiar smell in the room, a mixture of coke fumes from the hot-water pipes, peppermints and that pervasive mist of eau de Cologne sprayed so recklessly by Dawn Allenby.",Stella didn't wear a slip,Stella was afraid Babs might tell Dotty that she didn't wear a slip and that Dotty would rush out and buy her one just as she had bought her a brassiere after catching her in the wardrobe with her arms above her head about to be fitted for her Ptolemy costume.
BNC-1142,"``And you're not having this dress,'' Nora said, bending down to look at the price tag. ``It's two and a half guineas!''",Nora was genuinely appalled,she hissed at Louise who could tell that she was genuinely appalled.
BNC-1144,"``That's no problem,'' he grinned, unabashed. ``We have a perfectly efficient paging system, isn't that right, Niall?''",Niall was furious,Lindsey saw the dark brow come down and from his thunderous expression could tell Niall was furious.
BNC-1145,She said good morning to Alice and Alice said hallo. She was thin and rather tall with a very lined gentle face and hair that was white but which Alice could see had once been blonde.,this was Tina's mother,She could also have told this was Tina's mother before Mrs Darne went off down the passage that led to the Headmaster's Flat.
BNC-1146,"David had obviously always known and Julia had learned that, whatever feelings were churning around inside his mother's mind, it was vital for her that they remained private. David was holding the strings in a pattern Julia had never seen before.",David and his mother were approaching a crisis point,His face seemed to show nothing except benevolent interest but Julia could tell from the way that he was carrying his head and a certain tension in his body that they were approaching a crisis point.
BNC-1147,"She might have sat all afternoon, nibbling and stuporous, exhausted but not sleepy. But the glazier finally came down from the upper floor, cheerfully announcing that all was now right and tight and he would be on his way.",the glazier would have liked to stop for a chat,Maggie could tell that he would have liked to stop for a chat that he felt sorry for her left on her own but she lacked either her grandmother's grace or her mother's energy so she did not offer him tea.
BNC-1148,"I'm such a coward, I hear things that aren't there. She set her lips and dragged Adam out of the fire, hooking one of his arms round her neck.",Adam didn't know what was happening to him,He leaned on her not wholly unconscious but she could tell he didn't know what was happening to him.
BNC-1150,"Jim waited. He waited a long time, and when the young doctor finally came out, it was almost dark.",something was wrong,Jim could nonetheless tell by his anxious face that something was wrong.
BNC-1154,"The Colonel could tell that the noise was distracting Amanda from her pamphlet, though she gave no outward sign. It was simply that he could judge such things after living so closely with her for however many years.",Amanda hadn't really got her nose in the Reverend Abraham,He could tell she hadn't really got her nose in the Reverend Abraham.
BNC-1158,"Nick rolled his eyes upwards. ``Not so bad, then.''",Mr Evans hadn't stolen the Will after all,She wished she could tell him that Mr Evans hadn't stolen the Will after all but Nick had never thought that he had so there was no point in it.
BNC-1159,Louise was equally anxious to see this man who had had the power to persuade her niece to go against her upbringing and character and behave so recklessly after such a brief acquaintance. Waiting in the airport she was suddenly aware of Nora striding towards her.,that Nora also felt that she was looking good,She was impressed by how elegant she looked and could tell by her cousin's walk that Nora also felt that she was looking good.
BNC-116,"After all, they had been together for a couple of years and she did idolise him. A line cut between Ashley's brows.",Ashley was going to demand an immediate showdown with the model,If Vitor imagined she was going to demand an immediate showdown with the model he was wrong.
BNC-1160,``Yes?'' ``Nathan?'',the call was long-distance,He could tell it was long-distance the line was so gravelly and hollow but he didn't recognise the voice.
BNC-1163,Chopra stood unsteadily on his feet. The shapechanger bounded around with excitement.,something had happened,Chopra could tell something had happened.
BNC-1164,"It seemed impossible that anyone could endure such pain for so long, but at last the doors of the Renault slammed and there was comparative silence. The engine was started up, revving violently as the car was turned round on the narrow road.",the car was being driven back up the hill towards Putna,John could tell that it was being driven back up the hill towards Putna.
BNC-1166,"Zenaida the sorceress jumped on her from behind, one hand at her throat, the other yanking at her hair.",the bird was Carmellina's true love under a spell from the wicked enchantress,She screeched and the bird flapping over her head screeched with her but Carmellina could tell from the look in its pale green eye that it was her true love under a spell from the wicked enchantress and she fell to her knees and clutched the skirts of Zenaida.
BNC-1169,"I didn't say anything, but kept on eating slowly.",his father was looking at him from the other end of the table,I could tell that my father was looking at me from the other end of the table swilling his juice round in his glass and staring at my head as I bent over my plate.
BNC-1173,"Just when you think you 've got it straight, along comes the Fool with his pig's bladder and whops you on the nose. By the way, I'm no idiot.",Gillian and Stuart weren't thrilled to see her at the airport,I could tell Gillian and Stuart weren't thrilled to see me at the airport.
BNC-1180,"Dam the leaks? If I do that, the Company doesn't have to know I've been interfacing data when I shouldn't.",he got scent of it before the system went down yesterday,I could tell the tutor I got scent of it before the system went down yesterday... Then everyone will think I'm some kind of spy anyway because it's hardly going to fit in with my cover of being a moron.
BNC-1185,"Except that his face, with those tobacco-stained looking eyes and drooping moustache, was always the same and you never knew what he was thinking. When he looked at you it was like he knew something he wasn't telling, or was laughing at you, no matter what it was he said.",Henry Mendez was Mexican,That's when you could tell Henry Mendez was Mexican.
BNC-1187,"I worried about the mythic trees you used to paint. Outside, some kids, browned off with the phone-booth, had snapped a sapling rowan in half.",the kids were putting the sapling rowan out of its misery,They may have thought they were putting it out of its misery - a lifetime beautifying the lorry-route to the A1.
BNC-119,"It's true - Peter can be infuriating, she registered. And, to someone with Marc's undoubted ambition and sheer grit, he probably seems hopelessly in need of a helping hand.",Marc could change what was deeply ingrained in Peter's nature,She almost felt sympathy for Marc if he imagined he could change what was deeply ingrained in Peter's nature.
BNC-1194,"And if he knew why did he tell her and annoy her still further? If he did have designs on her, and a plan to marry Mr Eddie Hogan's daughter and thereby marry into the business, then why was he saying all the things that would irritate and upset her?",Mr Eddie Hogan's daughter's own wishes would hardly be considered in the matter,Perhaps he thought that her own wishes would hardly be considered in the matter.
BNC-120,"We must be well past Malmesbury by this time, Isabel thought. But the fortress there was an outpost, virtually surrounded by enemy castles.",fitzAlan could travel,It would be miles yet probably another day of travelling before they reached safer country and even if fitzAlan stubbornly insisted that he could travel the horse wouldn't go forever.
BNC-1200,"Mrs Menzies had died five years before, killed by malaria and stomach trouble from their time in Bengal. Menzies himself had a yellow face with a stained-looking flush on each cheekbone, and when he felt a bout of fever coming on, he drank to drown the symptoms.",Menzies was trying not to sound drunk,Now he looked over at Cameron taking stock of the quizzical lift of his right eyebrow when he looked out below his black fringe the down-turn of his mouth under his long curved nose and began to recapitulate his argument with care uncomfortably aware that Angus might think he was trying not to sound drunk.
BNC-1201,"Right then Shannon would gladly have given her entire make-up kit for a rest, but there was no way she was about to admit any weakness to him, particularly after that crack about her ``poor over-used mouth''. So he thought she talked too much, did he?",the big ox was teaching a statue,He 'd see how quiet she could be - in fact the big ox might just think he was teaching a statue male-chauvinist pig that he was.
BNC-1205,"Still doubtful, the embalmer beckoned his assistants away from their other tasks.",in these times it was not worth taking the risk of offending anyone,He was probably thinking that in these times it was not worth taking the risk of offending anyone just in case they were agents of Horemheb and you ended up in an emerald mine on the Eastern Coast.
BNC-1208,"It is obvious, is it not, that if one gets emotionally involved in a problem, one can not perform as well as when one is viewing it impersonally, yes?'' ``Yes,'' Fabia agreed, but what was more than obvious to her, with Ven stressing, ``specifically'' stressing, that Lubor talk to her on an impersonal basis only, was that he still didn't trust her not to ask personal questions about him.",Fabia would do that pest of an interview through Lubor,Hurt that he could think she would do that pest of an interview through Lubor she was certain then that she didn't even like Ven Gajdusek - much less was she attracted to him!
BNC-1211,She gazed at him through her thick lashes.,by giving them some space Maria Luisa would get Steve out of her system,Perhaps he thought that by giving them some space Maria Luisa would get Steve out of her system.
BNC-1213,It was ridiculously easy to get away and her own skill brought a grin to her face. The great Felipe had not even been around and the servants had ignored the fact that the inglesa was calmly walking towards the great gates.,the inglesa was just exploring the area within the walls,Maybe they thought she was just exploring the area within the walls.
BNC-1217,"For a moment Leith wondered who the dickens he thought she had with her, then she remembered Naylor had been with her last night when Travis had called.",Leith and Naylor were so enamoured of each other that Naylor was always there,Perhaps he thought she and Naylor were so enamoured of each other that he was always there.
BNC-122,"And how deeply she wished she could feel the confidence impressed upon her voice as she added with forced lightness, ``Apart from any other consideration, I still have a wet dog to find.'' Unconvinced, shaking her grey curls under the mob-cap, Mrs Tillotson did as she was bidden.",the drapes should be further drawn,The bedroom was insufferably dark though if he insisted that the drapes should be further drawn they would open only on to a dour and leaden sky.
BNC-1221,But this was different. Mother Clare's idea of covering obligations centred around the kitchen.,Eve might like to serve the breakfast in the refectory and clear away,She thought perhaps that Eve might like to serve the breakfast in the refectory and clear away and that she should also leave classes ten minutes before lunch and be back in the refectory to serve soup to the other students when they came in.
BNC-1223,"His head sank so low that his collar dented his bottom lip, and Sarah had touched his arm in sympathy, earning an even stronger rebuke herself. Nahum was becoming a feverishly energetic lover.",powerful attacks on Sarah might produce the result Nahum longed for,Perhaps he thought powerful attacks on her might produce the result he longed for.
BNC-1224,"However did people manage to discipline themselves and stick to a single line for long enough to gain control, to come out on top, to become the boss instead of the employee? At Liz's party, last night, there had been bosses.",Liz was an archetypal boss too,Charles himself was an archetypal boss and if one didn't know Liz so well one might think she was one too.
BNC-1228,"Harrison knew many of the wrestlers and the rest of the morning passed pleasantly enough as he moved around the quacks and the pedlars, tinkers and gypsies and show people who were an enjoyable contrast to the farmers ' wives selling their freshly imprinted butter, with their buckets of eggs, the vegetables and poultry, rabbits, game pies, potted char, rum butter. A few of the men had taken a rare day off from the quarries and the recognitions were more generous than Harrison had anticipated.",Harrison had used the incident of the bad teeth and the convenience of a farming father to bolt from that tough and dirty job,He suspected that they might think he had used the incident of the bad teeth and the convenience of a farming father to bolt from that tough and dirty job.
BNC-1229,"His reaction on seeing them was a surprise to himself, and a shock to them. He soared higher to lure them up and then folding his wings back stooped down towards them, gaining speed with each second and transfixing the weakest-looking one with his stare.",it was a game,Perhaps the hooded crows thought it was a game perhaps they misjudged his skill and speed.
BNC-1236,Those people... Not a one of them realized I was not human. They looked at me and they pretend I'm someone called Franz Kafka.,he was Franz Kafka,Maybe they really thought I was Franz Kafka.
BNC-1240,How Robert (at Marlborough) patronizes him now. He never talked to me about them.,he belongs to the same world,Perhaps he secretly thinks I belong to the same world.
BNC-1242,"He had been almost tempted to buy some from her at a discount until he remembered her prices. Highgate Cemetery was more or less on his way to the theatre, and although it was almost all old graves without flowers, he had seen some being left regularly by some nutty Communist at the grave of Karl Marx.",it was kids who had stolen the flowers,The woman would probably think it was kids who had stolen them.
BNC-1246,"Even Pedro, pattering nervily about the room, seemed more restless than usual, and when he slept his dreams were troubled. Gradually Louisa began to wonder whether her father had been right after all, whether she had been as unwise as he claimed to shut herself away in this sequestered place.",Louisa was afraid,At moments when her concentration was disturbed when dusk came too soon and its shadows flittered dismally about the room almost she might think she was afraid.
BNC-1252,"He's weird enough to have undressed me without thinking, according to some mad notion of the ``proper'' thing to do.",she couldn't lie in bed with her clothes on,Perhaps he thought I couldn't lie in bed with my clothes on.
BNC-1253,It was mainly to make a good impression on the new tribe. Little Krishna ran off into the jungle.,she was going to shoot little Krishna as well,Perhaps the little idiot thought I was going to shoot him as well.
BNC-1254,"Isabel watched him vanish beneath the barbican and felt as though she had been abandoned to face the enemy without weapons or protection. The shield of cold indifference, the sword of anger, had both been snatched from her by Ralf's warning.",fitzAlan might be in danger,Instead of worrying about what fitzAlan might do to her after her last defiant outburst she could only think that he might be in danger.
BNC-1256,"Lewis, sensibly, had allowed himself a lot of time. Adam would be very surprised to see him.",something had happened to Adam's mother,He would probably think something had happened to his mother and that Lewis was there as the bearer of bad news.
BNC-1257,"``I 'd have done it long ago. Now, give me some beer, and don't poison it.''",the warning was a necessary one,It was said as a joke but if the man had seen the evil look on Fagin's face he might have thought the warning was a necessary one.
BNC-1259,"I felt I had to make him happy after all the sad things which had happened to him, so I told him his English was very good. It was just average really.",she was just a harmless English eccentric,I wonder whether he thought it was just the way the English talked or whether he thought I was peculiar... Yes I suppose you're right he probably thought I was just a harmless English eccentric!
BNC-1264,"But I still wasn't sure why. Perhaps it was Nassim's mention of the baby that sparked me off, however subconsciously.",if it was Billy's kid then somebody had to tell Lucy the bad news,Perhaps I thought that if it was Billy's kid then somebody had to tell Lucy the bad news and if she was skipping probation it had better not be the cops.
BNC-1273,Then I knew what had happened. He didn't have to tell me the rest.,her half-brother was dead or ill or something had happened to him,I suppose I could have thought from the little he 'd said up until then that my half-brother was dead or ill or that something had happened to him but I knew then it was something Eric had done and there was only one thing he could have done which would make my father look worried.
BNC-1277,"Then a man at the back of the hall began to clap, and someone else joined in. Soon the clapping became fierce applause.",the Collector had just sung an aria,Such was the enthusiasm that you might have thought that the Collector had just sung an aria.
BNC-128,``But it could have been a big jet. Maybe hundreds of passengers.'',it wasn't a jet carrying hundreds of passengers,If Andropulos knew it wasn't a jet carrying hundreds of passengers his face wasn't saying so.
